source_category,product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
meals-with-meat,Cooked Pilau Rice with Marinated Chicken Breast,5059697699658,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken']",0,[],[],150.0,6.91,3.41,1.49,1.09,6.4,0.467
meals-with-meat,Poulet basquaise,3245360004924,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:chicken-basque-style']",0,[],[],130.0,4.4,1.1,0.8,1.2,8.1,0.73
meals-with-meat,Dinky Melton Mowbray Pork Pies,25744,"['en:meals', 'en:meats-and-their-products', 'en:pies', 'en:pizzas-pies-and-quiches', 'en:double-crust-pies', 'en:meals-with-meat', 'en:salted-pies', 'en:meat-pies', 'en:pork-meals', 'en:pork-pies']",1,[],['en:e428'],404.0,27.0,10.0,1.8,1.7,13.2,1.05
meals-with-meat,Moussaka à l'aubergine et au boeuf,3560071458232,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:moussaka']",0,[],[],150.0,12.0,3.8,3.7,1.6,4.8,0.77
meals-with-meat,Paupiette de veau forestière avec riz,3188720000207,"['en:meats-and-their-products', 'en:meals', 'en:meats', 'en:meals-with-meat', 'en:beef-dishes', 'en:veal-meat', 'en:microwave-meals', 'en:veal-meat-dishes', 'en:olive-veal']",0,[],[],131.0,5.9,2.3,0.2,1.0,6.4,0.88
meals-with-meat,Beef lasagne,4088600003665,"['en:meats-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:refrigerated-foods']",1,[],['en:e415'],138.0,5.9,2.9,0.5,1.7,6.5,0.7875
meals-with-meat,HACHIS PARMENTIER de bœuf,3276558528694,"['en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:beef-cottage-pies']",0,[],[],134.0,7.4,3.8,0.5,2.9,7.1,0.74
meals-with-meat,Lustucru ravioli bœuf cheddar 300g x8,3240931548395,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:beef-dishes', 'en:fresh-pasta', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:fresh-pasta-stuffed-with-meat', 'en:meat-ravioli', 'en:beef-ravioli']",1,[],"['en:e160b', 'en:e160bii']",273.0,8.5,3.3,2.8,2.0,11.0,1.0
meals-with-meat,Chicken jalfrezi,4088600399928,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken']",1,[],['en:e160c'],126.0,5.9,1.6,4.1,1.9,11.5,0.72
meals-with-meat,Regina Sourdough Pizza,5060198647123,"['en:frozen-foods', 'en:meals', 'en:pizzas-pies-and-quiches', 'en:meals-with-meat', 'en:pizzas', 'en:pork-meals', 'en:frozen-pizzas-and-pies', 'en:frozen-pizzas', 'en:pizza-with-ham-and-cheese']",2,[],"['en:e250', 'en:e301']",229.0,7.7,2.8,1.6,1.8,10.0,1.3
meals-with-meat,Slow-Cooked Beef Ragu with “Vino Chianti DOP” Ravioli,5059697712371,"['en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:beef-dishes', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:meat-ravioli', 'en:beef-ravioli']",0,[],[],214.0,8.0,1.53,3.4,2.0,8.2,0.82
meals-with-meat,Donburi au poulet,3270160861224,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:frozen-ready-made-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'fr:donburi']",0,[],[],147.0,2.3,0.4,2.3,0.6,6.7,0.65
meals-with-meat,CroustiMoelleuse EXTREME Kebab,3248830719656,"['en:meals', 'en:meats-and-their-products', 'en:frozen-foods', 'en:pizzas-pies-and-quiches', 'en:meals-with-meat', 'en:pizzas', 'en:poultry-meals', 'en:vegetarian-pizzas', 'en:cheese-pizzas', 'en:frozen-pizzas-and-pies', 'en:meals-with-chicken', 'en:chicken-pizza', 'en:frozen-pizzas', 'en:kebab-pizzas']",0,[],[],195.0,5.7,1.5,1.7,1.8,10.0,0.99
meals-with-meat,"Paëlla Royale Volaille, mouilles & chorizo",3261053400415,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:canned-meals', 'en:paella']",3,[],"['en:e250', 'en:e301', 'en:e451']",125.0,4.5,1.2,0.8,1.4,7.8,0.74
meals-with-meat,Spaghetti bolognaise BIO,3248830000112,"['en:meats-and-their-products', 'en:meals', 'en:fresh-foods', 'en:pasta-dishes', 'en:meals-with-meat', 'en:beef-dishes', 'en:fresh-meals', 'en:bolognese-style-pasta', 'en:bolognese-spaghetti']",0,[],[],170.0,8.5,3.0,2.3,1.3,6.8,0.67
meals-with-meat,Nasi Goreng,20416041,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:refrigerated-foods', 'en:frozen-ready-made-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:refrigerated-meals']",2,[],"['en:e415', 'en:potassium-iodide']",136.0,3.5,0.4,2.6,2.5,6.6,1.33
