product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Choco Shells,20067274,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:extruded-cereals', 'en:breakfast-cereals-rich-in-fibre', 'en:chocolate-wheat-shells']",0,[],[],377.0,2.7,1.1,22.4,8.3,9.6,0.29
"DolcesenzaFrumento, Avena e Riso",8002590048402,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:extruded-cereals', 'en:extruded-flakes', 'en:breakfast-cereals-rich-in-fibre', 'en:mixed-cereal-flakes']",2,[],"['en:e500', 'en:e500ii', 'en:e965']",363.0,3.2,0.7,2.5,6.5,12.0,0.9
Muesli au chocolat,3421557502767,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:frozen-foods', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",0,[],[],407.0,11.0,4.6,7.9,9.3,11.0,0.15
Muesli croustillant tout chocolat,3564707186278,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate', 'en:diet-chocolate-breakfast-cereals']",0,[],[],444.0,15.0,6.0,20.0,8.7,9.6,0.05
Fruit and nut muesli,5000169070857,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:mueslis-with-fruits']",0,[],[],387.0,11.5,3.7,19.1,8.6,8.9,0.03
Müesli crunchy,4056489687344,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis']",2,[],"['en:e306', 'en:e322']",459.0,17.5,4.9,26.9,6.4,8.7,0.33
Strawberry Granola,01817928,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:seeds', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereal-grains', 'en:mueslis', 'en:oat']",0,[],[],428.0,11.0,3.6,16.5,6.5,10.6,0.03
Wholegrain Malties,01002942,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:extruded-cereals']",0,[],[],360.0,1.7,0.4,10.6,10.9,11.3,0.42
NESTLE CHOKELLA Céréales 350g​,5900020006226,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:extruded-cereals']",3,[],"['en:e306', 'en:e322', 'en:e500']",412.0,9.0,1.0,24.3,5.4,6.7,0.67
Sante Tropical Muesli Whole Grain Oat 350G,5900617002099,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:mueslis-with-fruits']",0,[],[],356.0,2.7,0.4,15.0,,8.2,0.18
Super Nutty Granola,4056489239895,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis', 'en:cereals-with-nuts', 'en:mueslis-with-nuts']",0,[],[],472.0,20.3,2.8,12.1,5.8,12.7,0.03
Muesli de superfrutas sin azúcares añadidos,3560071407537,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:mueslis-with-fruits', 'es:aliments-d-origine-vegetale', 'es:aliments-et-boissons-a-base-de-vegetaux', 'es:cereales-aux-fruits', 'es:cereales-et-derives', 'es:cereales-et-pommes-de-terre', 'es:cereales-pour-petit-dejeuner', 'es:muesli-y-granola-con-fruta', 'es:petit-dejeuners']",0,[],[],364.0,6.1,0.9,16.0,9.6,9.9,0.02
Nestle Nesquik Cereal 375g,5011476100175,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:breakfast-cereals-rich-in-fibre']",0,[],[],378.0,3.0,0.7,22.1,9.3,8.7,0.07
nut granola blueberry cinnamon sweet & crunchy,0819562022791,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:seeds', 'en:cereals-and-their-products', 'en:nuts-and-their-products', 'en:breakfast-cereals', 'en:cereal-grains', 'en:nuts', 'en:mueslis']",1,[],['en:e968'],533.0,50.0,16.7,6.67,10.0,13.3,0.208
Special K Granola mixed berries,5059319016450,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis']",1,[],"['en:e322', 'en:e322i']",451.0,14.0,1.9,11.0,10.0,9.3,0.01
Honey nut corn flakes,5059697706981,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:extruded-flakes']",0,[],[],403.0,4.5,1.0,27.8,2.4,7.6,0.61
