product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Pistache,3560071449315,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:desserts', 'en:frozen-foods', 'en:nuts-and-their-products', 'en:frozen-desserts', 'en:nuts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:pistachios', 'en:ice-cream-tubs', 'en:pistachio-ice-cream-tubs']",3,[],"['en:e100', 'en:e412', 'en:e471']",179.0,7.5,4.0,21.0,0.6,2.2,0.15
Glace à l'italienne Vanille & Fraise,8711327489349,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-cones']",6,[],"['en:e322', 'en:e330', 'en:e412', 'en:e417', 'en:e442', 'en:e471']",264.0,11.0,9.5,27.0,2.8,2.7,0.2
Flake cones,5010693308449,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",7,[],"['en:e160a', 'en:e322', 'en:e322i', 'en:e410', 'en:e412', 'en:e442', 'en:e471', 'en:e476']",196.0,10.2,7.4,16.6,0.3,2.5,0.04
La Laitière (Glace) Caramel Beurre salé,3274664225711,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'fr:glaces-au-caramel']",8,[],"['en:e150a', 'en:e322', 'en:e322i', 'en:e330', 'en:e412', 'en:e440', 'en:e471', 'en:e500']",188.0,6.2,4.1,19.0,0.5,1.8,0.2
Schwarzwälder Kirsch,4008210184806,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs']",5,[],"['en:e322', 'en:e330', 'en:e412', 'en:e440', 'en:e471']",200.0,7.2,6.4,26.0,1.0,2.0,0.07
Glace,3596710471331,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-cones', 'en:strawberry-vanilla-ice-cream-cones', 'en:cones-glaces', 'en:cones-vanille-fraise', 'en:desserts-glaces', 'en:surgeles']",7,[],"['en:e160', 'en:e162', 'en:e163', 'en:e322', 'en:e322i', 'en:e330', 'en:e412', 'en:e504']",237.0,8.9,7.4,30.0,0.7,1.8,0.1
Salted Caramel,3415581114935,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",3,[],"['en:e322', 'en:e322i', 'en:e440', 'en:e500', 'en:e500ii']",275.0,16.4,10.0,25.0,0.0,4.0,0.58
LOTUS BISCOFF Glace Mini Bâtonnets - Speculoos Chocolat au lait - 276g (6x60ml),5410126007701,"['en:dairies', 'en:desserts', 'en:frozen-foods', 'en:creams', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars', 'en:frozen-creams', 'en:ice-cream-bars-coated-with-chocolate']",6,[],"['en:e322', 'en:e330', 'en:e412', 'en:e471', 'en:e476', 'en:e500', 'en:e500ii']",436.0,29.0,13.0,34.0,0.7,3.4,0.36
classic protein Ice cream,4056489576266,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:protein-ice-cream']",8,[],"['en:e160b', 'en:e160bii', 'en:e407', 'en:e410', 'en:e412', 'en:e476', 'en:e960a', 'en:e965', 'en:e968']",315.0,19.0,12.0,25.0,1.32,9.4,0.154
Mini caramel,3270160842605,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars']",4,[],"['en:e322', 'en:e322i', 'en:e412', 'en:e440', 'en:e471']",367.0,23.0,14.0,26.0,2.5,3.9,1.0
Eis Stracciatella,8711327478961,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:stracciatella-ice-cream-tubs']",3,[],"['en:e412', 'en:e442', 'en:e471']",198.0,8.4,6.8,20.0,,2.8,0.09
Huracan Pak 7 Stuks (gelatelli),20396954,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:desserts-glaces', 'en:surgeles']",8,[],"['en:e100', 'en:e140', 'en:e330', 'en:e407', 'en:e410', 'en:e412', 'en:e440', 'en:e471']",106.0,1.7,1.4,20.6,0.2,0.7,0.04
Nogger das original,40561219,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars']",5,[],"['en:e407', 'en:e412', 'en:e442', 'en:e471', 'en:e503', 'en:e503i']",314.0,21.0,17.0,22.0,,3.6,0.14
Snickers peanut butter,5000159543378,"['en:snacks', 'en:desserts', 'en:sweet-snacks', 'en:confectioneries', 'en:frozen-foods', 'en:frozen-desserts', 'en:bars', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-candy-chocolate-bars']",5,[],"['en:e322', 'en:e322i', 'en:e407', 'en:e410', 'en:e412', 'en:e471']",349.0,21.0,9.8,28.0,,5.7,0.3
Saveur crème brûlée,3596710442164,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",4,[],"['en:e160', 'en:e412', 'en:e440', 'en:e471']",191.0,7.9,7.0,23.0,0.5,1.8,0.13
,8005840096581,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs']",3,[],"['en:e322', 'en:e322i', 'en:e401', 'en:e471']",262.0,15.0,9.4,24.0,,3.4,0.16
Mango 7613036211802 Mangoeis mit Fruchtzubereitung mit Mangostückchen,7613036211802,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs']",5,[],"['en:e160a', 'en:e330', 'en:e412', 'en:e440', 'en:e471']",180.0,6.8,6.1,25.0,,0.8,0.06
Bum Bum,7613035050655,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:sorbets']",12,[],"['en:e160a', 'en:e296', 'en:e322', 'en:e330', 'en:e412', 'en:e420', 'en:e422', 'en:e471', 'en:e953', 'en:e960a', 'en:e965', 'en:e967']",257.0,13.0,10.0,25.0,0.5,0.6,0.03
Vanilla Ice Cream,20544249,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:vanilla-ice-cream-tubs']",3,[],"['en:e160b', 'en:e412', 'en:e471']",166.0,8.1,7.3,20.4,,1.8,0.06
Cottee's Ice Magic Chocolate 220G,9300657173418,"['en:snacks', 'en:desserts', 'en:sweet-snacks', 'en:frozen-foods', 'en:bars', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:chocolate-coated-ice-cream']",2,[],"['en:e319', 'en:e471']",581.0,42.3,19.5,46.4,,4.09,0.0341
Gelato alla vaniglia variegato al cacao e nocciola,8005840004708,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",5,[],"['en:e322', 'en:e401', 'en:e407', 'en:e440', 'en:e471']",245.0,14.0,9.6,22.0,,1.0,0.05
"Double Sunlover White Chocolate, Mango, Coconut",8711327582408,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars']",11,[],"['en:e14xx', 'en:e160a', 'en:e322', 'en:e330', 'en:e331', 'en:e407', 'en:e410', 'en:e412', 'en:e417', 'en:e440', 'en:e471']",318.0,17.3,12.1,26.7,,4.0,0.00035
Lighten Up Chocolate Cookie Dough,8711327590311,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs']",3,[],"['en:e322', 'en:e410', 'en:e412']",208.0,6.7,3.6,24.0,,4.7,0.15
Magnum Glace Bâtonnet Mini parfum Popcorn Double Starchaser 6x55ml,8711327580725,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars', 'en:ice-cream-bars-coated-with-chocolate']",8,[],"['en:e322', 'en:e407', 'en:e410', 'en:e412', 'en:e417', 'en:e442', 'en:e471', 'en:e476']",293.0,16.0,10.0,27.0,0.0,3.1,0.22
Colombian Coffee icecream,5057753907372,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:coffee-ice-cream-tubs']",0,[],[],224.0,13.3,8.9,19.9,0.5,3.8,0.07
Vanilla Ice Cream Without Sugar,8711327547070,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",0,[],[],138.0,5.7,5.1,6.7,5.6,4.0,0.158
Vanille Amandes,3596710470327,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars', 'en:ice-cream-tubs', 'en:ice-cream-bars-coated-with-chocolate', 'en:vanilla-ice-cream-bars-coated-with-milk-chocolate-and-almonds', 'en:vanilla-ice-cream-tubs']",5,[],"['en:e160', 'en:e322', 'en:e322i', 'en:e412', 'en:e471', 'en:e476']",319.0,20.0,12.0,27.0,1.0,3.8,0.17
Amando biscotto gelato con frutti di bosco,8005840006092,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",8,[],"['en:e330', 'en:e401', 'en:e407', 'en:e412', 'en:e440', 'en:e471', 'en:e500', 'en:e503']",314.0,12.0,9.0,26.0,,2.5,0.39
Pecan Pie Ice Cream,0071899835486,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs']",0,[],[],195.0,7.96,5.31,27.4,0.0,3.54,0.122
"Crème glacée Amande, fleur d’oranger, makrout",3270160841769,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs']",2,[],"['en:e440', 'en:e471']",217.0,8.9,5.7,25.0,0.5,4.6,0.09
Gelato allo yogurt variegato ai frutti di bosco,8017596043955,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",2,[],"['en:e330', 'en:e471']",186.0,8.0,7.0,24.0,0.5,2.7,0.06
Sandwich classic,4056489639725,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-sandwiches']",4,[],"['en:e322', 'en:e412', 'en:e471', 'en:e500']",268.0,16.6,13.6,17.3,,2.4,0.08
Glace Cookie Dough,3564706705494,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",0,[],[],258.0,14.0,9.1,24.0,0.5,3.3,0.0
Nogger,8711327594883,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars', 'en:ice-cream-bars-coated-with-fat-reduced-cocoa']",4,[],"['en:e412', 'en:e442', 'en:e471', 'en:e503']",326.0,21.0,17.0,22.0,,3.6,0.14
